FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Portugal,2020-07-09 04:34:23,39.3999,-8.2245,44859,1631,29714,13514,Portugal,439.9361480132753,3.635836732874117
,,,Qatar,2020-07-09 04:34:23,25.3548,51.1839,101553,138,96107,5308,Qatar,3524.848493262896,0.135889633984225
,,,Romania,2020-07-09 04:34:23,45.9432,24.9668,30175,1817,20799,7559,Romania,156.85361677150084,6.021541010770505
,,,Rwanda,2020-07-09 04:34:23,-1.9403,29.8739,1194,3,610,581,Rwanda,9.218504735369851,0.25125628140703515
,,,Saint Kitts and Nevis,2020-07-09 04:34:23,17.357822,-62.782998,16,0,15,1,Saint Kitts and Nevis,30.079711234772144,0.0
,,,Saint Lucia,2020-07-09 04:34:23,13.9094,-60.9789,22,0,19,3,Saint Lucia,11.980678433145087,0.0
,,,Saint Vincent and the Grenadines,2020-07-09 04:34:23,12.9843,-61.2872,29,0,29,0,Saint Vincent and the Grenadines,26.138606722128586,0.0
,,,San Marino,2020-07-09 04:34:23,43.9424,12.4578,698,42,656,0,San Marino,2056.6916141198667,6.017191977077364
,,,Sao Tome and Principe,2020-07-09 04:34:23,0.18636,6.613081,724,13,283,428,Sao Tome and Principe,330.35074671132185,1.7955801104972375
,,,Saudi Arabia,2020-07-09 04:34:23,23.885942,45.079162,220144,2059,158050,60035,Saudi Arabia,632.3457259143318,0.935296896576786
,,,Senegal,2020-07-09 04:34:23,14.4974,-14.4524,7657,141,5097,2419,Senegal,45.73000484354628,1.8414522659004833
,,,Serbia,2020-07-09 04:34:23,44.0165,21.0059,17076,341,13562,3173,Serbia,195.4363841751008,1.996954790349028
,,,Seychelles,2020-07-09 04:34:23,-4.6796,55.492,91,0,11,80,Seychelles,92.53609924750864,0.0
,,,Sierra Leone,2020-07-09 04:34:23,8.460555000000001,-11.779889,1584,63,1122,399,Sierra Leone,19.857126470715446,3.977272727272727
,,,Singapore,2020-07-09 04:34:23,1.2833,103.8333,45298,26,41323,3949,Singapore,774.2793884050902,0.05739767760166012
,,,Slovakia,2020-07-09 04:34:23,48.669,19.699,1798,28,1473,297,Slovakia,32.932556212924545,1.557285873192436
,,,Slovenia,2020-07-09 04:34:23,46.1512,14.9955,1763,111,1429,223,Slovenia,84.80315854486823,6.2960862166761205
,,,Somalia,2020-07-09 04:34:23,5.152149,46.199616,3028,92,1147,1789,Somalia,19.052150480025478,3.038309114927345
,,,South Africa,2020-07-09 04:34:23,-30.5595,22.9375,224665,3602,106842,114221,South Africa,378.80620866857794,1.6032759886942782
,,,South Sudan,2020-07-09 04:34:23,6.8770000000000024,31.307,2021,38,333,1650,South Sudan,18.054751906178893,1.880257298367145
,,,Sri Lanka,2020-07-09 04:34:23,7.873054,80.77179699999998,2094,11,1967,116,Sri Lanka,9.778991979265177,0.5253104106972302
